"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Start page functionality","Checking items and iframe","0","0","2","0","0"
"","Inner page ""Different elements"" functionality","Selecting checkboxes, ratio, dropdown","0","0","1","0","0"
